customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
id7044,Male,0,Yes,No,3.88,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,74.82,184.82,No
id7045,Male,0,No,Yes,29.7799045784,No,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.3015024676,1359.7,No
id7046,Female,0,Yes,Yes,34.5463567496,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,59.7780621973,1752.55,No
id7047,Male,0,No,No,1.79,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,100.46,493.84,No
id7048,Female,0,No,Yes,5.58,Yes,Yes,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.88,74.66,No
id7049,Female,1,No,No,31.1888698197,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),87.3228958804,845.6,No
id7050,Male,0,No,No,52.7739142913,Yes,Yes,No,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,30.2370715421,4447.55,No
id7051,Male,0,Yes,No,32.4313959392,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,64.3328555376,303.15,No
id7052,Male,0,Yes,No,0.27,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,72.42,141.67,Yes
id7053,Male,0,No,No,3.16,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,77.15,357.72,Yes
id7054,Female,0,Yes,No,8.2918283785,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,53.6454005642,3442.15,No
id7055,Male,0,No,No,2.81,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,79.43,442.44,Yes
id7056,Female,1,No,Yes,56.7534414995,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.4466633833,805.1,No
id7057,Female,1,Yes,Yes,37.9790079546,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),60.7444217484,6766.95,No
id7058,Female,0,No,No,46.4156163915,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),39.8636148958,3673.15,No
id7059,Male,0,Yes,Yes,3.52,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,115.39,77.06,No
id7060,Male,0,Yes,Yes,3.5,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,108.2,115.47,No
id7061,Female,0,No,Yes,0.59,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.06,79.88,Yes
id7062,Male,0,Yes,Yes,5.13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,98.37,183.57,Yes
id7063,Female,0,No,Yes,0.3,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,114.76,254.16,No
id7064,Female,0,Yes,No,3.39,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,91.4,392.75,No
id7065,Male,1,Yes,No,67.9846430769,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.7986899479,215.2,No
id7066,Male,0,No,Yes,5.63,No,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,89.39,51.23,No
id7067,Female,0,Yes,Yes,0.05,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,70.66,2.7,Yes
id7068,Female,0,Yes,Yes,23.329234452,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,One year,No,Mailed check,72.3000975483,1060.6,No
id7069,Female,1,No,No,17.4438587432,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,No,Mailed check,71.4405517729,7679.65,No
id7070,Female,0,No,Yes,4.61,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,116.48,22.4,No
id7071,Female,1,Yes,Yes,1.38,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,72.03,24.15,Yes
id7072,Male,0,No,No,35.7295428719,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,69.9644295786,1732.6,No
id7073,Female,0,Yes,No,3.29,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,103.69,63.8,No
id7074,Male,0,No,No,20.9851727658,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,61.0839632937,5706.3,No
id7075,Female,0,No,No,1.66,Yes,No,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,No,Electronic check,89.93,155.79,No
id7076,Female,0,Yes,Yes,24.1297257378,Yes,No,DSL,No internet service,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),64.8355462002,5791.1,No
id7077,Male,0,Yes,No,3.49,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,80.68,3.51,Yes
id7078,Female,0,No,No,31.9649392715,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.527281822,4362.05,No
id7079,Male,0,Yes,No,5.81,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,74.1,195.96,No
id7080,Male,1,Yes,No,34.7862694416,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.3471315465,3147.5,No
id7081,Male,0,Yes,No,40.0389667616,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,No,,45.0775659724,119.3,
id7082,Female,0,Yes,No,9.2578910487,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,60.7593016463,291.4,No
id7083,Male,0,Yes,No,4.81,No,No,No,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,106.47,331.74,No
id7084,Female,0,Yes,Yes,13.3475524373,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),91.7381165086,70.85,No
id7085,Male,0,Yes,Yes,2.52,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,111.73,152.42,Yes
id7086,Female,1,No,Yes,2.58,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.66,179.51,No
id7087,Female,0,No,No,5.18,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,78.34,93.91,No
id7088,Male,0,Yes,Yes,41.3673050897,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,One year,Yes,Mailed check,79.1751191762,2958.95,No
id7089,Male,1,Yes,No,36.4394887043,No,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.8692812795,4186.3,No
id7090,Female,0,No,No,27.6073880995,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,35.5843798326,2007.25,No
id7091,Male,0,Yes,No,4.22,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,96.48,450.58,Yes
